datum,oib,primatelj,mjesto,iznos,valuta,opis,pozivNaBroj,iban,sifraPK,nazivPK,tipOsobe,isplateUuid,brojUgovora,konto_sifra,konto_naziv,konto_iznos
2025-01-21 00:00:00.0,14506572540,LIBUSOFT CICOM D.O.O.,Zagreb-Novi Zagreb,22435.95,EUR,,HR99,,,,P,93ab363f-5770-48a8-bc66-e64172e9a4e2,,3238,Računalne usluge,22435.95
2025-01-10 00:00:00.0,14506572540,LIBUSOFT CICOM D.O.O.,Zagreb-Novi Zagreb,22435.95,EUR,,HR99,,,,P,4ae506df-eb31-49e3-967b-da7c873187ea,,3238,Računalne usluge,22435.95
2024-12-19 00:00:00.0,14506572540,LIBUSOFT CICOM D.O.O.,Zagreb-Novi Zagreb,22435.95,EUR,,HR99,,,,P,1fa3b787-4141-407a-8ffe-ee9c2480b919,,3238,Računalne usluge,22435.95
2024-12-19 00:00:00.0,14506572540,LIBUSOFT CICOM D.O.O.,Zagreb-Novi Zagreb,22435.95,EUR,,HR99,,,,P,cd2d6e0a-1442-4efe-95da-12b7e5f5ee11,,3238,Računalne usluge,22435.95
2024-12-18 00:00:00.0,14506572540,LIBUSOFT CICOM D.O.O.,Zagreb-Novi Zagreb,7278.75,EUR,,HR99,,,,P,04df5bc0-1c00-49df-90d3-4a67db6befa7,,3238,Računalne usluge,7278.75
2024-10-29 00:00:00.0,14506572540,LIBUSOFT CICOM D.O.O.,Zagreb-Novi Zagreb,150.00,EUR,,HR99,,,,P,88a50e97-4e16-457c-adba-fcecb527d20a,,3213,Stručno usavršavanje zaposlenika,150
2024-10-21 00:00:00.0,14506572540,LIBUSOFT CICOM D.O.O.,Zagreb-Novi Zagreb,6115.20,EUR,,HR99,,,,P,db8d12b0-9a01-4563-bd0c-343d8b6596a8,,3238,Računalne usluge,6115.2
2024-10-09 00:00:00.0,14506572540,LIBUSOFT CICOM D.O.O.,Zagreb-Novi Zagreb,815.50,EUR,,HR99,,,,P,1e1106d0-b604-490f-bf55-efc70e7a35f0,,3238,Računalne usluge,815.5
2024-09-10 00:00:00.0,14506572540,LIBUSOFT CICOM D.O.O.,Zagreb-Novi Zagreb,6115.20,EUR,,HR99,,,,P,506d36b5-ce53-4bb6-880e-6a859f25cb27,,3238,Računalne usluge,6115.2
2024-09-10 00:00:00.0,14506572540,LIBUSOFT CICOM D.O.O.,Zagreb-Novi Zagreb,815.50,EUR,,HR99,,,,P,4e194511-e0e5-4ccd-809e-e82c709d3d92,,3238,Računalne usluge,815.5
